Trial,Coherence,Noah Responses,Corey Responses,Jack Responses,Andrea Responses,Emily Responses
1,0.35,0.983695652174,0.554149797571,-0.131015037594,0.580701754386,0.172105263158
1,0.35,0.990732265446,0.58471659919,-0.113721804511,0.591228070175,0.502894736842
1,0.35,0.851086956522,0.612348178138,-0.0733082706767,0.601315789474,0.710789473684
1,0.35,0.773455377574,0.632489878543,0.0201127819549,0.609868421053,0.837105263158
1,0.35,0.705549199085,0.671153846154,0.131203007519,0.617543859649,0.918157894737
1,0.35,0.667677345538,0.706072874494,0.190413533835,0.625657894737,0.993684210526
1,0.35,0.676773455378,0.751518218623,0.224248120301,0.634649122807,0.987368421053
1,0.35,0.710068649886,0.787955465587,0.243045112782,0.642543859649,0.985789473684
1,0.35,0.752745995423,0.806174089069,0.268984962406,0.652192982456,0.577368421053
1,0.35,0.789645308924,0.809008097166,0.293609022556,0.661842105263,0.0268421052632
1,0.35,0.820823798627,0.792004048583,0.332142857143,0.668859649123,0.112894736842
1,0.35,0.856636155606,0.764777327935,0.362030075188,0.680043859649,0.194736842105
1,0.35,0.894393592677,0.745647773279,0.378759398496,0.703070175439,0.255789473684
1,0.35,0.931636155606,0.753744939271,0.388157894737,0.740131578947,0.292631578947
1,0.35,0.975915331808,0.768927125506,0.396804511278,0.771710526316,0.321052631579
1,0.35,0.811498855835,0.762550607287,0.411842105263,0.795614035088,0.364736842105
1,0.35,0.303489702517,0.645850202429,0.426691729323,0.826973684211,0.486052631579
1,0.35,-0.0229977116705,0.914068825911,0.442669172932,0.896710526316,0.582894736842
1,0.35,-0.132036613272,0.953542510121,0.461090225564,1.01688596491,0.645
1,0.35,-0.210755148741,-0.274089068826,0.481578947368,1.01973684211,0.741052631579
1,0.35,-0.13381006865,-0.743724696356,0.502067669173,0.839473684211,0.845
2,0.35,-0.00411899313501,-0.782287449393,0.520488721805,0.0111842105263,0.879473684211
2,0.35,0.111384439359,-0.7004048583,0.539473684211,0.10548245614,0.788157894737
2,0.35,0.182208237986,-0.484008097166,0.562593984962,0.174342105263,0.649210526316
2,0.35,0.223512585812,-0.377024291498,0.584210526316,0.210745614035,0.563947368421
2,0.35,0.255835240275,-0.29524291498,0.619736842105,0.24100877193,0.511052631579
2,0.35,0.288100686499,-0.134210526316,0.661466165414,0.265131578947,0.477631578947
2,0.35,0.319050343249,-0.121052631579,0.696804511278,0.292324561404,0.460789473684
2,0.35,0.348627002288,-0.10475708502,0.724248120301,0.33399122807,0.444736842105
2,0.35,0.397883295195,-0.0580971659919,0.754511278195,0.391666666667,0.424736842105
2,0.35,0.438100686499,0.0403846153846,0.772744360902,0.492763157895,0.390789473684
2,0.35,0.470366132723,0.15455465587,0.792481203008,0.56951754386,0.348157894737
2,0.35,0.511670480549,0.206477732794,0.804323308271,0.608114035088,0.303947368421
2,0.35,0.556464530892,0.263967611336,0.81484962406,0.622587719298,0.274736842105
2,0.35,0.589359267735,0.340789473684,0.829511278195,0.649122807018,0.249473684211
2,0.35,0.619736842105,0.406072874494,0.916541353383,0.702631578947,0.235263157895
2,0.35,0.649199084668,0.445748987854,0.653007518797,0.762061403509,0.215
2,0.35,0.630778032037,0.470141700405,0.550187969925,0.798684210526,0.176842105263
2,0.35,0.588215102975,0.459615384615,0.525751879699,0.810087719298,0.147368421053
2,0.35,0.551029748284,0.517004048583,0.511466165414,0.819078947368,0.129210526316
2,0.35,0.517105263158,0.553441295547,0.488157894737,0.827850877193,0.116842105263
2,0.35,0.486212814645,0.591599190283,0.410902255639,0.836622807018,0.106842105263
2,-0.05,0.440503432494,0.616700404858,0.329887218045,0.845833333333,0.1
2,0.0,0.378089244851,0.632186234818,0.291541353383,0.85350877193,0.0894736842105
2,-0.05,0.312528604119,0.611943319838,0.264097744361,0.860745614035,0.0139473684211
2,0.0,0.220995423341,0.616700404858,0.24454887218,0.867105263158,-0.228421052632
2,-0.05,0.099828375286,0.634008097166,0.24454887218,0.873903508772,-0.431052631579
2,-0.15,0.0323226544622,0.640587044534,0.295676691729,0.918201754386,-0.506315789474
2,-0.05,-0.00669336384439,0.603947368421,0.421804511278,0.991666666667,-0.532368421053
2,-0.15,-0.0471967963387,0.568623481781,0.487781954887,1.01973684211,-0.549210526316
2,-0.25,-0.0892448512586,0.535425101215,0.511278195489,1.01973684211,-0.561052631579
2,-0.35,-0.12356979405,0.47955465587,0.531015037594,0.973684210526,-0.57
2,-0.35,-0.191704805492,0.418825910931,0.564661654135,0.885745614035,-0.58
2,-0.35,-0.205606407323,0.280668016194,0.609398496241,0.793421052632,-0.599736842105
2,-0.35,-0.164130434783,0.171558704453,0.619172932331,0.691447368421,-0.662368421053
2,-0.35,-0.172311212815,0.102631578947,0.64022556391,0.653070175439,-0.701052631579
2,-0.35,-0.23438215103,-0.0194331983806,0.661278195489,0.611184210526,-0.724736842105
